currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,4.972,4.972,westus2,US West 2,2020-07-01T00:00:00Z,676e3ab8-9a98-5094-8e83-94072633e116,Ddsv4 Type 1,DZH318Z0DFW0,DZH318Z0DFW0/0012,Ddsv4 Series Dedicated Host,Ddsv4 Type 1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Ddsv4_Type 1,
USD,0.0,49652.0,49652.0,westus2,US West 2,2020-07-01T00:00:00Z,676e3ab8-9a98-5094-8e83-94072633e116,Ddsv4 Type 1,DZH318Z0DFW0,DZH318Z0DFW0/000Q,Ddsv4 Series Dedicated Host,Ddsv4 Type 1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Ddsv4_Type 1,3 Years
USD,0.0,25697.0,25697.0,westus2,US West 2,2020-07-01T00:00:00Z,676e3ab8-9a98-5094-8e83-94072633e116,Ddsv4 Type 1,DZH318Z0DFW0,DZH318Z0DFW0/000X,Ddsv4 Series Dedicated Host,Ddsv4 Type 1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Ddsv4_Type 1,1 Year
USD,0.0,4.276,4.276,westus2,US West 2,2020-10-01T00:00:00Z,680877bb-a454-56de-9e97-4cbdcd98b58b,Fsv2 Type3,DZH318Z0C621,DZH318Z0C621/005X,FSv2 Series Dedicated Host,Fsv2 Type3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Fsv2 Type3,
USD,0.0,22099.0,22099.0,westus2,US West 2,2020-10-01T00:00:00Z,680877bb-a454-56de-9e97-4cbdcd98b58b,Fsv2 Type3,DZH318Z0C621,DZH318Z0C621/005R,FSv2 Series Dedicated Host,Fsv2 Type3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Fsv2 Type3,1 Year
USD,0.0,41575.0,41575.0,westus2,US West 2,2020-10-01T00:00:00Z,680877bb-a454-56de-9e97-4cbdcd98b58b,Fsv2 Type3,DZH318Z0C621,DZH318Z0C621/005H,FSv2 Series Dedicated Host,Fsv2 Type3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Fsv2 Type3,3 Years
USD,0.0,5.76,5.76,westus2,US West 2,2020-10-01T00:00:00Z,6c13a2b1-95c0-59d7-b259-5ab74cecb806,E80ids v4,DZH318Z0CSHK,DZH318Z0CSHK/03JV,Virtual Machines Edsv4 Series,E80ids v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E80ids_v4,
USD,0.0,29770.0,29770.0,westus2,US West 2,2020-10-01T00:00:00Z,6c13a2b1-95c0-59d7-b259-5ab74cecb806,E80ids v4,DZH318Z0CSHK,DZH318Z0CSHK/03JT,Virtual Machines Edsv4 Series,E80ids v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E80ids_v4,1 Year
USD,0.0,57522.0,57522.0,westus2,US West 2,2020-10-01T00:00:00Z,6c13a2b1-95c0-59d7-b259-5ab74cecb806,E80ids v4,DZH318Z0CSHK,DZH318Z0CSHK/03JR,Virtual Machines Edsv4 Series,E80ids v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E80ids_v4,3 Years
USD,0.0,14017.0,14017.0,westus2,US West 2,2020-08-01T00:00:00Z,723ad3a6-b2d1-5d13-9017-e81e2a5012d4,D48ds v4,DZH318Z0CSHM,DZH318Z0CSHM/00J1,Virtual Machines Ddsv4 Series,D48ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_D48ds_v4,1 Year
USD,0.0,2.712,2.712,westus2,US West 2,2020-06-01T00:00:00Z,723ad3a6-b2d1-5d13-9017-e81e2a5012d4,D48ds v4,DZH318Z0CSHM,DZH318Z0CSHM/003D,Virtual Machines Ddsv4 Series,D48ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48ds_v4,
USD,0.0,27083.0,27083.0,westus2,US West 2,2020-06-01T00:00:00Z,723ad3a6-b2d1-5d13-9017-e81e2a5012d4,D48ds v4,DZH318Z0CSHM,DZH318Z0CSHM/00J2,Virtual Machines Ddsv4 Series,D48ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_D48ds_v4,3 Years
USD,0.0,5.069,5.069,westus2,US West 2,2020-07-01T00:00:00Z,746a0932-1764-556f-8ffd-a52a7f14e91e,Edsv4 Type 1,DZH318Z0DFVZ,DZH318Z0DFVZ/000V,Edsv4 Series Dedicated Host,Edsv4 Type 1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Edsv4_Type 1,
USD,0.0,26198.0,26198.0,westus2,US West 2,2020-07-01T00:00:00Z,746a0932-1764-556f-8ffd-a52a7f14e91e,Edsv4 Type 1,DZH318Z0DFVZ,DZH318Z0DFVZ/0010,Edsv4 Series Dedicated Host,Edsv4 Type 1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Edsv4_Type 1,1 Year
USD,0.0,50619.0,50619.0,westus2,US West 2,2020-07-01T00:00:00Z,746a0932-1764-556f-8ffd-a52a7f14e91e,Edsv4 Type 1,DZH318Z0DFVZ,DZH318Z0DFVZ/000N,Edsv4 Series Dedicated Host,Edsv4 Type 1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Edsv4_Type 1,3 Years
USD,0.0,0.169,0.169,westus2,US West 2,2020-03-01T00:00:00Z,749a7905-5144-4383-937c-2eb82ef4ffab,F4s v2,DZH318Z0BPWJ,DZH318Z0BPWJ/0009,Virtual Machines FSv2 Series Windows,F4s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_F4s_v2,
USD,0.0,0.326,0.326,westus2,US West 2,2020-03-01T00:00:00Z,749a7905-5144-4383-937c-2eb82ef4ffab,F4s v2,DZH318Z0BPWJ,DZH318Z0BPWJ/0009,Virtual Machines FSv2 Series Windows,F4s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_F4s_v2,
USD,0.0,0.944,0.944,westus2,US West 2,2020-06-01T00:00:00Z,7542c205-9591-5c9e-b328-a1029d51c00f,E8-2ds v4,DZH318Z0CSHB,DZH318Z0CSHB/0066,Virtual Machines Edsv4 Series Windows,E8-2ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8-2ds_v4,
USD,0.0,0.576,0.576,westus2,US West 2,2020-06-01T00:00:00Z,7542c205-9591-5c9e-b328-a1029d51c00f,E8-2ds v4,DZH318Z0CSHB,DZH318Z0CSHB/0066,Virtual Machines Edsv4 Series Windows,E8-2ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_E8-2ds_v4,
USD,0.0,23816.0,23816.0,westus2,US West 2,2020-06-01T00:00:00Z,7624b4b1-36d7-5873-853f-1c9619287410,E64-16ds v4,DZH318Z0CSHK,DZH318Z0CSHK/018V,Virtual Machines Edsv4 Series,E64-16ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E64-16ds_v4,1 Year
USD,0.0,4.608,4.608,westus2,US West 2,2020-06-01T00:00:00Z,7624b4b1-36d7-5873-853f-1c9619287410,E64-16ds v4,DZH318Z0CSHK,DZH318Z0CSHK/008J,Virtual Machines Edsv4 Series,E64-16ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64-16ds_v4,
USD,0.0,46017.0,46017.0,westus2,US West 2,2020-08-01T00:00:00Z,7624b4b1-36d7-5873-853f-1c9619287410,E64-16ds v4,DZH318Z0CSHK,DZH318Z0CSHK/018R,Virtual Machines Edsv4 Series,E64-16ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E64-16ds_v4,3 Years
USD,0.0,0.677,0.677,westus2,US West 2,2020-03-01T00:00:00Z,76aac00c-94d6-4015-9073-b0e68b5c106b,F16s v2,DZH318Z0BPWJ,DZH318Z0BPWJ/0008,Virtual Machines FSv2 Series Windows,F16s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_F16s_v2,
